ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Skill_Standard,Grade_Level
183,The volume formula is:,L + W + H,L x W x H,L x W,2L + 2W,B,5.MD.C.5,5
184,In number 5.432 what place is the 2?,Tenths,Hundredths,Thousandths,Ones,C,5.NBT.A.3,5
185,Compare 0.4 ___ 0.40,>,<,=,Different,C,5.NBT.A.3,5
186,Solve: 15 x 12,170,180,150,160,B,5.NBT.B.5,5
187,What is 1/5 of 20?,5,4,10,2,B,5.NF.B.4,5
188,Evaluate: 3 x 10^2,30,300,3000,32,B,5.NBT.A.2,5
189,A box is 2 by 3 by 5. Volume?,10,30,25,15,B,5.MD.C.5,5
190,Classify a triangle with one 90 degree angle.,Acute,Obtuse,Right,Equilateral,C,5.G.B.3,5
191,Solve: 4.2 + 0.08,4.28,5,4.1,4.38,A,5.NBT.B.7,5
192,If you divide 4 whole items into 1/3 pieces how many pieces?,12,45750,45720,7,A,5.NF.B.7,5
193,Which comes first in Order of Operations?,Exponents,Addition,Parentheses,Division,C,5.OA.A.1,5
194,Coordinate (5 0) is located on which axis?,X-axis,Y-axis,Z-axis,In the middle,A,5.G.A.1,5
195,Convert 4kg to grams.,40,400,4000,40000,C,5.MD.A.1,5
196,Multiplying a number by a fraction less than 1 makes it:,Bigger,Smaller,Same,Zero,B,5.NF.B.5,5
197,Solve: 3/4 - 1/2,45690,45661,45659,45692,B,5.NF.A.1,5
198,What is 0.1 as a fraction?,1/100,45667,45658,45931,B,5.NBT.A.3,5
199,Find the area of a rectangle with fractional sides: 1/2 ft by 1/4 ft.,1/6 sq ft,1/8 sq ft,2/6 sq ft,1 sq ft,B,5.NF.B.4,5
200,Solve: 100 / 10^2,10,100,1,0.1,C,5.NBT.A.2,5
201,"Find the slope of the line passing through (2,5) and (4,11).",3,2,6,-3,A,HSF.LE.A.2,9
202,Solve the system: y = 2x and y = x + 4.,"(2, 6)","(-4, -8)","(4, 8)","(4 ,4)",C,HSA.REI.C.6,9
203,Factor the trinomial: x^2 + 5x + 6.,(x+1)(x+6),(x-2)(x-3),(x+5)(x+1),(x+2)(x+3),D,HSA.SSE.B.3,9
204,What is the y-intercept of 2x + 3y = 12?,6,12,4,2,C,HSF.IF.C.7,9
205,Simplify: (3x^2)(4x^5),12x^10,7x^7,7x^10,12x^7,D,HSA.APR.A.1,9
206,Solve for x: |x - 3| = 5,x=8 or x=-2,x=8,x=-2,x=2 or x=-8,A,HSA.REI.B.3,9
207,Which is the Difference of Squares?,x^2 + 9,x^2 - 3,x - 9,x^2 - 9,D,HSA.SSE.A.2,9
208,Find the roots of: x^2 - 4x = 0,2 and -2,0 and 4,0 and -4,4,B,HSA.REI.B.4,9
209,Simplify: sqrt(50),5sqrt(2),2sqrt(5),25,10,A,HSN.RN.A.2,9
210,Expand: (x + 4)^2,x^2 + 16,x^2 + 8x + 16,x^2 + 4x + 16,2x + 8,B,HSA.APR.A.1,9
211,Identify the vertex of y = (x - 2)^2 + 3.,"(2, 3)","(-2 ,3)","(2 ,-3)","(-2, -3)",A,HSF.IF.C.7,9
212,Solve the inequality: -3x < 12 (Flip sign!),x < -4,x > -4,x > 4,x < 4,B,HSA.REI.B.3,9
213,What is the domain of f(x) = 1/x?,All real numbers,x > 0,x < 0,All real numbers except 0,D,HSF.IF.A.1,9
214,Solve using Quadratic Formula for x^2 + 2x - 8 = 0.,2 and 4,4 and -2,2 and -4,-2 and -4,C,HSA.REI.B.4,9
215,Which lines are parallel?,y=2x+1 and y=2x-5,y=2x and y=-2x,y=3x and y=1/3x,y=x and y=5,A,HSF.LE.B.5,9
216,Calculate f(3) if f(x) = 2x^2 - 5.,1,7,13,31,C,HSF.IF.A.2,9
217,Factor completely: 2x^2 - 8,2(x-2)(x+2),2(x-4),2(x^2 - 4),(2x-4)(x+2),A,HSA.SSE.B.3,9
218,Determine the discriminant of x^2 + 4x + 4.,Positive (2 real roots),Negative (2 imaginary),Undefined,0 (1 real root),D,HSA.REI.B.4,9
219,Simplify: (x^3)^4,x^12,x^7,x^81,4x^3,A,HSN.RN.A.1,9
220,What is the zero of the function f(x) = 3x - 9?,3,-3,9,0,A,HSA.APR.B.3,9
221,Which point lies on the line 2x - y = 6?,(0 6),(3 0),(4 1),(1 -4),B,HSA.REI.D.10,9
222,Subtract polynomials: (3x + 5) - (x - 2),2x + 7,2x + 3,4x + 3,2x - 7,A,HSA.APR.A.1,9
223,Solve for y: Ax + By = C,y = C - Ax - B,y = (C - Ax)/B,y = (C + Ax)/B,y = C/B - Ax,B,HSA.CED.A.4,9
224,"Is the sequence Arithmetic? 2, 5, 8,  11...",No (multiply),No (random),Yes (add 3),Yes (add 2),C,HSF.BF.A.2,9
225,Multiply: (x - 5)(x + 2),x^2 - 3x - 10,x^2 - 7x - 10,x^2 + 3x - 10,x^2 - 10,A,HSA.APR.A.1,9
226,Solve: sqrt(x) = 9,3,18,81,4.5,C,HSA.REI.A.2,9
227,What describes the correlation if points go down from left to right?,Negative,Positive,No Correlation,Undefined,A,HSS.ID.C.8,9
228,Evaluate 2x^0 + (2x)^0 (where x is not 0).,3,2,4,1,A,HSN.RN.A.1,9
229,"Write the equation of a line with slope 1/2 passing through (0,4).",y = 1/2x - 4,y = 4x + 1/2,y = 1/2x + 4,y = 2x + 4,C,HSF.LE.A.2,9
230,Find the solution to the inequality 2x - 5 > 9,x > 7,x > 2,x > 14,x < 7,A,HSA.REI.B.3,9
231,Two lines are perpendicular if their slopes are:,Equal,Opposites,Reciprocals,Negative reciprocals,D,HSG.GPE.B.5,10
232,Sum of interior angles of a triangle is always:,360 degrees,90 degrees,270 degrees,180 degrees,D,HSG.CO.C.10,10
233,"If a triangle has sides 3,4,5 it is a:",Acute Triangle,Obtuse Triangle,Right Triangle,Isosceles Triangle,C,HSG.SRT.C.8,10
234,Find the circumference of a circle with radius 5.,10pi,25pi,5pi,20pi,A,HSG.C.B.5,10
235,In a right triangle sin(A) is defined as:,Opposite / Hypotenuse,Adjacent / Hypotenuse,Opposite / Adjacent,Hypotenuse / Opposite,A,HSG.SRT.C.6,10
236,What is the area of a circle with diameter 10?,25pi,100pi,50pi,10pi,A,HSG.C.B.5,10
237,Complementary angles sum to:,180 degrees,360 degrees,90 degrees,45 degrees,C,HSG.CO.C.9,10
238,"Identify the transformation: (x,y) -> (x,-y)",Reflection over y-axis,Rotation 180,Translation,Reflection over x-axis,D,HSG.CO.A.2,10
239,The sum of interior angles of a quadrilateral is:,180,360,720,540,B,HSG.CO.C.11,10
240,Which theorem proves triangles congruent? (Side-Angle-Side),AAA,SAS,SSA,AA,B,HSG.CO.B.8,10
241,Find the volume of a cylinder with r=3 and h=10.,30pi,60pi,90pi,300pi,C,HSG.GMD.A.3,10
242,If two triangles are similar their corresponding sides are:,Congruent,Equal,Proportional,Parallel,C,HSG.SRT.A.2,10
243,A line intersecting two parallel lines is called a:,Transversal,Bisector,Median,Tangent,A,HSG.CO.C.9,10
244,"Calculate the midpoint of (0, 0) and (10, 10).",(10 10),(20 20),(5 5),(0 0),C,HSG.GPE.B.6,10
245,"What is the distance between (1,1) and (4,5)?",5,7,25,3,A,HSG.GPE.B.7,10
246,In a 30-60-90 triangle if the short leg is x the hypotenuse is:,x * sqrt(3),x,3x,2x,D,HSG.SRT.C.8,10
247,The longest chord in a circle is the:,Radius,Secant,Diameter,Tangent,C,HSG.C.A.2,10
248,Find tan(45) degrees.,0,Undefined,1,0.5,C,HSG.SRT.C.6,10
249,Surface Area of a sphere formula:,4/3 * pi * r^3,2 * pi * r,pi * r^2,4 * pi * r^2,D,HSG.GMD.A.3,10
250,Alternate Interior Angles are equal if lines are:,Perpendicular,Parallel,Skew,Intersecting,B,HSG.CO.C.9,10
251,What is the value of i^2?,1,i,#NAME?,-1,D,HSN.CN.A.1,11
252,Simplify: sqrt(-16),4i,4,-4,16i,A,HSN.CN.A.1,11
253,Add complex numbers: (3 + 2i) + (1 - 5i),4 - 3i,4 + 7i,2 + 7i,4 - 7i,A,HSN.CN.A.2,11
254,Evaluate log_10(100),10,100,2,0.1,C,HSF.LE.A.4,11
255,Rewrite in exponential form: log_2(8) = 3,2^3 = 8,3^2 = 8,8^2 = 3,2^8 = 3,A,HSF.LE.A.4,11
256,Solve 3^x = 27,9,3,1,2,B,HSF.LE.A.4,11
257,What is the inverse of f(x) = x + 4?,x - 4,#NAME?,x + 4,1/(x+4),A,HSF.BF.B.4,11
258,Simplify rational expression: x^2/x,x,1,x^2,2x,A,HSA.APR.D.6,11
259,Find the vertical asymptote of y = 1/(x-2),x = 2,y = 2,x = 0,y = 0,A,HSF.IF.C.7,11
260,Multiply conjugates: (2 + i)(2 - i),5,3,4 - i,4 + i,A,HSN.CN.A.3,11
261,Factor x^3 - 8 (Difference of Cubes),(x-2)(x^2-2x+4),(x+2)(x^2-2x+4),(x-2)(x^2+2x+4),(x-2)^3,C,HSA.SSE.A.2,11
262,Value of 5! (5 factorial),25,120,15,60,B,HSS.CP.B.9,11
263,How many ways to arrange 3 books on a shelf?,3,9,1,6,D,HSS.CP.B.9,11
264,Solve: log(x) + log(2) = log(10),5,8,20,12,A,HSF.LE.A.4,11
265,What is the center of the circle (x-2)^2 + (y+3)^2 = 16?,(2 -3),(-2 3),(2 3),(-2 -3),A,HSG.GPE.A.1,11
266,Find f(g(x)) if f(x)=2x and g(x)=x+1,2x + 2,2x + 1,x + 2,x + 1,A,HSF.BF.A.1,11
267,Simplify: (x^2 - 1) / (x + 1),x - 1,x + 1,x,1,A,HSA.APR.D.6,11
268,If f(x) = e^x what is the natural log of e?,0,e,1,undefined,C,HSF.LE.A.4,11
269,Solve for x: x^(1/2) = 5,25,10,2.5,1,A,HSN.RN.A.2,11
270,Sum of an infinite geometric series 1 + 1/2 + 1/4 + ...,1.5,Infinite,3,2,D,HSA.SSE.B.4,11
271,The graph of y = x^2 is a:,Circle,Hyperbola,Line,Parabola,D,HSF.IF.C.7,11
272,Solve: |2x + 1| > 5,x > 2 or x < -3,#NAME?,x > 2,x < -3,A,HSA.REI.B.3,11
